id,genero,edad,pais,fecha registro,plan servicio,permanencia,duracion llamadas,consumo datos,cargo mensual,cargo total,churn
2450,Femenino,76,Perú,2022-03-19,Estándar,26,476,10,3499.8,90994.8,0
4760,Femenino,30,Perú,2023-11-07,Básico,6,23,8,2424.15,14544.9,0
6020,Masculino,77,Argentina,2020-03-10,Premium,50,264,1,577.2,28860.0,1
3886,Femenino,65,Chile,2020-09-26,Premium,44,337,16,5153.85,226769.4,0
5320,Femenino,39,Chile,2023-12-18,Básico,5,443,12,4065.15,20325.75,0
9765,Femenino,23,Chile,2022-11-13,Estándar,18,239,4,1450.95,26117.1,0
5778,Masculino,89,Perú,2021-11-21,Estándar,30,310,16,5125.5,153765.0,0
8745,Femenino,85,Perú,2020-06-23,Premium,47,377,1,695.85,32704.95,1
7728,Masculino,32,Chile,2021-03-08,Premium,38,308,15,4823.4,183289.2,0
1590,Masculino,91,Argentina,2023-11-20,Estándar,6,113,18,5518.65,33111.9,1
4586,Masculino,58,Chile,2021-05-10,Premium,36,482,13,4406.1,158619.6,0
2756,Femenino,43,Perú,2022-08-17,Premium,21,394,2,1013.7,21287.7,0
3179,Femenino,46,Chile,2022-10-13,Básico,19,3,14,4203.15,79859.85,0
1893,Femenino,92,Chile,2023-08-23,Estándar,9,310,7,2425.5,21829.5,1
5044,Femenino,50,Argentina,2024-04-21,Estándar,1,225,18,5636.25,5636.25,0
3606,Femenino,42,Argentina,2020-10-06,Estándar,43,200,20,6210.0,267030.0,0
4234,Masculino,49,Perú,2023-07-20,Estándar,10,150,12,3757.5,37575.0,1
3000,Masculino,77,Perú,2020-06-14,Premium,47,288,18,5702.4,268012.8,0
1027,Femenino,67,Perú,2023-02-25,Premium,15,381,11,3700.05,55500.75,0
3329,Masculino,34,Perú,2019-09-09,Básico,56,115,17,5220.75,292362.0,0
8232,Femenino,86,Perú,2022-03-20,Básico,26,84,11,3388.2,88093.2,0
1812,Femenino,87,Argentina,2021-01-04,Básico,40,351,20,6368.55,254742.0,0
7868,Masculino,22,Argentina,2023-02-09,Premium,15,295,12,3909.75,58646.25,0
4462,Femenino,28,Perú,2022-09-29,Básico,20,291,16,5105.55,102111.0,0
1258,Femenino,71,Argentina,2023-08-31,Premium,9,26,19,5727.3,51545.7,0
6760,Femenino,71,Perú,2019-07-01,Premium,58,337,12,3953.85,229323.3,0
2375,Masculino,30,Chile,2022-05-16,Básico,24,2,1,302.1,7250.4,0
2143,Femenino,53,Perú,2023-02-12,Premium,15,140,8,2547.0,38205.0,0
2192,Masculino,31,Chile,2020-06-14,Estándar,47,293,10,3307.65,155459.55,0
5866,Masculino,91,Perú,2019-11-27,Básico,54,165,4,1373.25,74155.5,0
736,Femenino,46,Perú,2023-07-17,Básico,10,500,18,5925.0,59250.0,0
4584,Femenino,70,Chile,2021-12-25,Estándar,29,41,19,5743.05,166548.45,1
2196,Femenino,36,Argentina,2022-05-17,Premium,24,108,9,2813.4,67521.6,0
8035,Masculino,45,Perú,2023-07-09,Premium,10,392,7,2511.6,25116.0,0
1097,Femenino,59,Perú,2022-01-10,Estándar,28,130,7,2236.5,62622.0,0
3132,Femenino,22,Perú,2023-05-07,Premium,12,47,4,1249.35,14992.2,0
9972,Femenino,69,Argentina,2024-02-04,Estándar,3,418,10,3438.9,10316.7,0
7743,Masculino,87,Chile,2023-06-25,Estándar,11,155,3,1062.75,11690.25,0
3647,Femenino,25,Perú,2019-08-20,Premium,57,466,6,2289.3,130490.1,1
1807,Femenino,16,Chile,2022-04-24,Básico,25,241,20,6253.05,156326.25,0
7925,Femenino,85,Chile,2019-09-26,Premium,56,491,10,3515.55,196870.8,0
9645,Femenino,76,Argentina,2023-07-19,Premium,10,427,2,1048.35,10483.5,1
2617,Femenino,66,Chile,2022-02-24,Estándar,27,448,17,5570.4,150400.8,0
6457,Femenino,65,Perú,2019-11-24,Básico,54,453,3,1375.65,74285.1,0
3192,Masculino,32,Chile,2019-10-11,Estándar,55,16,3,916.8,50424.0,1
3782,Masculino,80,Chile,2023-08-09,Básico,9,449,18,5871.45,52843.05,0
4681,Femenino,99,Chile,2022-05-27,Básico,24,283,7,2397.15,57531.6,0
6104,Masculino,19,Chile,2022-03-18,Estándar,26,188,19,5897.4,153332.4,0
2969,Masculino,68,Argentina,2022-09-08,Básico,20,76,5,1579.8,31596.0,0
3899,Femenino,23,Argentina,2021-05-03,Estándar,36,402,12,4022.1,144795.6,0
7478,Masculino,78,Chile,2020-06-28,Básico,47,426,5,1947.3,91523.1,0
1284,Masculino,85,Chile,2023-06-11,Básico,11,266,15,4779.3,52572.3,0
6143,Masculino,79,Argentina,2024-02-08,Básico,3,31,14,4232.55,12697.65,0
4009,Masculino,41,Perú,2023-08-01,Estándar,9,494,3,1418.7,12768.3,1
1981,Femenino,24,Argentina,2024-04-29,Básico,1,28,3,929.4,929.4,0
4050,Masculino,97,Chile,2021-03-18,Básico,38,159,18,5566.95,211544.1,0
9859,Masculino,46,Argentina,2024-01-31,Premium,4,254,9,2966.7,11866.8,1
676,Femenino,96,Chile,2019-07-26,Estándar,58,328,11,3644.4,211375.2,0
839,Femenino,50,Argentina,2019-10-22,Estándar,55,177,15,4685.85,257721.75,1
8032,Masculino,37,Argentina,2019-05-22,Básico,60,86,5,1590.3,95418.0,0
7729,Femenino,97,Argentina,2022-04-05,Estándar,25,366,15,4884.3,122107.5,0
3025,Masculino,62,Argentina,2022-03-22,Estándar,26,436,1,757.8,19702.8,0
8863,Masculino,43,Chile,2020-05-18,Premium,48,61,1,364.05,17474.4,0
8267,Masculino,40,Perú,2021-05-22,Premium,36,388,6,2207.4,79466.4,1
704,Femenino,84,Argentina,2021-06-13,Básico,35,418,19,6138.9,214861.5,1
7014,Femenino,27,Argentina,2023-04-14,Premium,13,18,14,4218.9,54845.7,0
1062,Femenino,37,Argentina,2024-04-03,Estándar,1,236,10,3247.8,3247.8,1
2966,Masculino,95,Argentina,2020-11-02,Estándar,42,427,11,3748.35,157430.7,1
9396,Femenino,62,Chile,2020-05-02,Estándar,48,161,14,4369.05,209714.4,0
3524,Femenino,68,Argentina,2021-12-15,Premium,29,409,12,4029.45,116854.05,0
2786,Masculino,45,Chile,2019-12-17,Básico,53,123,18,5529.15,293044.95,0
8961,Masculino,63,Perú,2023-03-16,Básico,14,466,15,4989.3,69850.2,0
6849,Masculino,21,Perú,2020-11-13,Básico,42,426,11,3747.3,157386.6,0
4509,Femenino,32,Chile,2019-11-18,Estándar,54,187,2,796.35,43002.9,0
326,Femenino,69,Argentina,2020-12-25,Básico,41,127,17,5233.35,214567.35,0
3848,Masculino,70,Perú,2020-03-03,Estándar,50,496,19,6220.8,311040.0,0
4849,Masculino,19,Perú,2023-01-31,Estándar,16,419,5,1939.95,31039.2,0
2314,Femenino,77,Chile,2023-06-04,Premium,11,194,17,5303.7,58340.7,0
6951,Femenino,64,Chile,2020-05-28,Básico,48,470,15,4993.5,239688.0,0
3007,Femenino,90,Perú,2020-11-23,Básico,42,344,8,2761.2,115970.4,1
4038,Femenino,70,Perú,2024-02-20,Estándar,3,87,6,1891.35,5674.05,0
6015,Femenino,43,Argentina,2023-04-19,Básico,13,464,12,4087.2,53133.6,0
8529,Masculino,75,Chile,2023-10-22,Premium,7,17,19,5717.85,40024.95,0
7687,Femenino,52,Perú,2023-02-09,Básico,15,117,19,5822.85,87342.75,0
6888,Masculino,88,Argentina,2021-03-10,Estándar,38,134,14,4340.7,164946.6,0
1246,Masculino,38,Perú,2023-08-14,Premium,9,250,18,5662.5,50962.5,0
7097,Femenino,83,Perú,2023-06-08,Estándar,11,245,19,5957.25,65529.75,1
3525,Femenino,42,Argentina,2023-09-19,Básico,8,45,3,947.25,7578.0,0
6796,Femenino,20,Perú,2021-12-10,Premium,29,357,7,2474.85,71770.65,0
5350,Masculino,76,Perú,2023-07-18,Básico,10,175,17,5283.75,52837.5,0
7500,Masculino,77,Chile,2022-05-05,Básico,24,219,16,5029.95,120718.8,0
2305,Masculino,55,Perú,2023-11-25,Estándar,6,213,6,2023.65,12141.9,1
913,Masculino,27,Perú,2021-02-09,Básico,39,10,12,3610.5,140809.5,1
8614,Masculino,78,Chile,2020-10-08,Estándar,43,53,13,3955.65,170092.95,0
5188,Femenino,66,Chile,2020-02-04,Básico,51,492,3,1416.6,72246.6,0
4328,Femenino,82,Argentina,2024-03-29,Básico,2,8,9,2708.4,5416.8,0
9978,Masculino,27,Argentina,2022-08-03,Básico,21,270,20,6283.5,131953.5,1
7326,Femenino,18,Argentina,2020-06-05,Básico,47,102,11,3407.1,160133.7,0
7955,Masculino,16,Perú,2021-08-15,Premium,33,240,6,2052.0,67716.0,0
712,Masculino,19,Perú,2019-11-09,Estándar,54,176,2,784.8,42379.2,0
621,Femenino,46,Perú,2023-08-18,Estándar,9,414,13,4334.7,39012.3,0
4019,Femenino,23,Argentina,2022-12-30,Básico,17,427,2,1048.35,17821.95,1
9889,Masculino,95,Perú,2020-07-19,Premium,46,140,9,2847.0,130962.0,0
2711,Femenino,79,Perú,2020-04-25,Estándar,49,330,4,1546.5,75778.5,0
9053,Femenino,45,Chile,2021-06-20,Básico,35,164,17,5272.2,184527.0,0
8277,Masculino,18,Perú,2023-04-07,Estándar,13,450,9,3172.5,41242.5,0
1462,Femenino,39,Argentina,2021-08-26,Premium,33,368,17,5486.4,181051.2,0
2716,Femenino,24,Chile,2022-02-10,Estándar,27,295,13,4209.75,113663.25,0
1128,Femenino,93,Chile,2023-05-23,Premium,12,290,1,604.5,7254.0,0
1565,Masculino,17,Chile,2020-12-04,Premium,41,384,13,4303.2,176431.2,0
2899,Masculino,55,Chile,2023-11-21,Básico,6,408,18,5828.4,34970.4,0
6559,Masculino,87,Chile,2020-03-27,Básico,50,364,12,3982.2,199110.0,0
3425,Femenino,76,Perú,2022-06-25,Premium,23,34,17,5135.7,118121.1,0
6408,Femenino,32,Perú,2019-07-16,Estándar,58,96,18,5500.8,319046.4,0
1092,Masculino,60,Perú,2022-09-22,Básico,20,143,4,1350.15,27003.0,0
6996,Masculino,19,Perú,2020-04-26,Premium,49,187,2,796.35,39021.15,0
5970,Femenino,64,Chile,2023-04-21,Premium,13,147,17,5254.35,68306.55,1
9021,Masculino,29,Chile,2020-10-05,Básico,43,196,10,3205.8,137849.4,0
6246,Femenino,52,Perú,2022-03-01,Estándar,26,393,20,6412.65,166728.9,0
1105,Femenino,45,Perú,2019-08-07,Estándar,57,316,2,931.8,53112.6,0
7329,Femenino,18,Argentina,2020-06-06,Premium,47,279,14,4492.95,211168.65,1
8697,Masculino,33,Argentina,2021-08-18,Estándar,33,136,20,6142.8,202712.4,0
7187,Masculino,48,Chile,2021-06-18,Básico,35,476,8,2899.8,101493.0,1
5315,Masculino,35,Chile,2022-07-18,Básico,22,12,14,4212.6,92677.2,0
1852,Masculino,37,Argentina,2022-11-11,Premium,18,169,18,5577.45,100394.1,0
5799,Femenino,48,Chile,2020-11-19,Básico,42,90,11,3394.5,142569.0,0
5013,Femenino,37,Perú,2019-11-30,Premium,54,414,15,4934.7,266473.8,0
2788,Femenino,64,Chile,2021-01-16,Básico,40,261,13,4174.05,166962.0,0
1385,Femenino,27,Perú,2023-11-15,Premium,6,481,11,3805.05,22830.3,1
4641,Femenino,90,Argentina,2020-10-01,Premium,43,231,4,1442.55,62029.65,0
6567,Masculino,78,Perú,2021-03-30,Básico,38,143,18,5550.15,210905.7,0
2356,Masculino,70,Perú,2022-07-13,Estándar,22,71,18,5474.55,120440.1,0
628,Femenino,66,Argentina,2024-03-15,Básico,2,56,12,3658.8,7317.6,0
5225,Femenino,66,Argentina,2020-09-16,Estándar,44,73,18,5476.65,240972.6,1
7525,Masculino,69,Chile,2021-02-22,Básico,39,443,8,2865.15,111740.85,0
5437,Masculino,84,Perú,2024-03-12,Básico,2,218,10,3228.9,6457.8,0
4954,Masculino,58,Chile,2024-02-17,Premium,3,105,10,3110.25,9330.75,0
2187,Femenino,76,Argentina,2024-04-15,Estándar,1,160,17,5268.0,5268.0,1
9994,Masculino,41,Perú,2020-10-20,Básico,43,401,7,2521.05,108405.15,0
3497,Femenino,25,Argentina,2023-12-24,Estándar,5,303,7,2418.15,12090.75,0
8071,Femenino,65,Perú,2024-03-03,Premium,2,237,3,1148.85,2297.7,0
1256,Femenino,83,Chile,2021-07-01,Estándar,34,342,6,2159.1,73409.4,0
8982,Femenino,21,Chile,2020-11-25,Básico,42,450,16,5272.5,221445.0,0
5697,Masculino,31,Argentina,2020-02-15,Premium,51,159,11,3466.95,176814.45,1
7223,Masculino,94,Chile,2022-02-09,Básico,27,445,17,5567.25,150315.75,0
4068,Femenino,67,Chile,2022-05-12,Estándar,24,391,12,4010.55,96253.2,0
7939,Femenino,95,Chile,2021-08-25,Premium,33,366,15,4884.3,161181.9,0
5054,Masculino,90,Perú,2022-11-01,Básico,18,385,5,1904.25,34276.5,0
722,Masculino,97,Argentina,2021-02-05,Básico,39,397,15,4916.85,191757.15,0
4119,Femenino,57,Argentina,2019-05-09,Básico,60,303,10,3318.15,199089.0,0
766,Femenino,65,Argentina,2019-07-15,Básico,58,66,16,4869.3,282419.4,0
2724,Masculino,17,Perú,2023-01-15,Básico,16,425,12,4046.25,64740.0,0
9330,Masculino,93,Chile,2020-11-12,Premium,42,121,7,2227.05,93536.1,1
7632,Femenino,52,Perú,2023-09-03,Premium,8,156,3,1063.8,8510.4,0
3812,Femenino,75,Argentina,2021-12-01,Premium,29,250,16,5062.5,146812.5,1
9083,Femenino,86,Chile,2020-08-25,Premium,45,31,10,3032.55,136464.75,0
1638,Femenino,22,Argentina,2023-01-21,Estándar,16,404,5,1924.2,30787.2,0
4241,Masculino,23,Argentina,2019-06-26,Básico,59,316,1,631.8,37276.2,0
553,Femenino,21,Argentina,2023-10-16,Básico,7,348,17,5465.4,38257.8,0
1722,Masculino,88,Argentina,2023-02-08,Estándar,15,373,4,1591.65,23874.75,0
1868,Femenino,56,Argentina,2022-09-10,Premium,20,167,12,3775.35,75507.0,0
6706,Masculino,36,Argentina,2019-08-19,Premium,57,269,5,1782.45,101599.65,0
2954,Masculino,27,Chile,2021-10-18,Básico,31,208,8,2618.4,81170.4,0
1234,Masculino,75,Chile,2019-12-19,Básico,53,498,12,4122.9,218513.7,0
5654,Femenino,32,Argentina,2023-08-19,Premium,9,461,6,2284.05,20556.45,0
1361,Masculino,54,Argentina,2022-09-14,Premium,20,294,19,6008.7,120174.0,0
6055,Femenino,27,Perú,2024-01-27,Premium,4,344,12,3961.2,15844.8,1
6816,Masculino,45,Chile,2019-09-07,Básico,56,391,9,3110.55,174190.8,0
7141,Masculino,54,Chile,2020-11-02,Premium,42,287,13,4201.35,176456.7,0
6122,Masculino,97,Perú,2023-03-17,Estándar,14,199,20,6208.95,86925.3,0
2402,Masculino,93,Argentina,2022-05-03,Básico,24,375,1,693.75,16650.0,0
225,Masculino,68,Chile,2022-04-09,Premium,25,257,5,1769.85,44246.25,1
3288,Femenino,21,Chile,2020-06-08,Básico,47,340,2,957.0,44979.0,0
9002,Masculino,91,Chile,2021-04-17,Estándar,37,191,16,5000.55,185020.35,0
1987,Masculino,90,Argentina,2020-06-21,Básico,47,24,13,3925.2,184484.4,0
2614,Femenino,45,Chile,2020-10-14,Básico,43,430,15,4951.5,212914.5,0
9424,Masculino,21,Argentina,2020-04-05,Básico,49,365,4,1583.25,77579.25,1
4470,Masculino,23,Argentina,2024-02-21,Premium,3,177,18,5585.85,16757.55,0
8933,Masculino,84,Perú,2022-06-25,Estándar,23,201,18,5611.05,129054.15,0
7781,Masculino,96,Perú,2021-01-24,Estándar,40,462,2,1085.1,43404.0,0
584,Femenino,51,Perú,2022-12-28,Estándar,17,235,6,2046.75,34794.75,1
5954,Femenino,93,Perú,2024-02-06,Estándar,3,306,19,6021.3,18063.9,0
575,Femenino,24,Chile,2020-08-01,Estándar,45,465,11,3788.25,170471.25,0
3019,Femenino,44,Argentina,2021-11-10,Básico,30,443,6,2265.15,67954.5,0
4159,Masculino,82,Argentina,2020-10-10,Básico,43,192,7,2301.6,98968.8,0
3785,Masculino,70,Perú,2023-09-24,Premium,8,112,14,4317.6,34540.8,0
3541,Masculino,16,Chile,2022-01-13,Estándar,28,304,6,2119.2,59337.6,0
7872,Femenino,89,Chile,2022-10-12,Estándar,19,453,13,4375.65,83137.35,0
487,Masculino,84,Chile,2021-02-24,Estándar,39,441,2,1063.05,41458.95,0
6171,Masculino,82,Perú,2019-06-10,Estándar,59,135,16,4941.75,291563.25,0
1942,Femenino,45,Perú,2021-02-06,Estándar,39,228,14,4439.4,173136.6,0
4104,Femenino,39,Chile,2019-05-14,Premium,60,266,15,4779.3,286758.0,0
780,Femenino,91,Argentina,2019-09-22,Estándar,56,137,18,5543.85,310455.6,0
1911,Femenino,19,Perú,2021-09-10,Premium,32,455,4,1677.75,53688.0,0
7588,Masculino,65,Perú,2021-02-13,Básico,39,396,9,3115.8,121516.2,0
9893,Masculino,29,Chile,2021-05-29,Premium,36,468,4,1691.4,60890.4,0
6833,Femenino,95,Argentina,2022-06-15,Básico,23,406,12,4026.3,92604.9,0
477,Femenino,42,Chile,2021-06-14,Premium,35,146,6,1953.3,68365.5,0
2461,Femenino,78,Argentina,2022-04-17,Premium,25,234,18,5645.7,141142.5,1
7364,Femenino,90,Chile,2021-01-25,Estándar,40,4,5,1504.2,60168.0,1
852,Femenino,23,Chile,2022-07-27,Premium,22,486,4,1710.3,37626.6,0
649,Masculino,82,Perú,2021-02-22,Estándar,39,44,11,3346.2,130501.8,0
4326,Femenino,22,Argentina,2022-06-22,Estándar,23,167,10,3175.35,73033.05,0
1978,Femenino,81,Chile,2020-01-12,Básico,52,292,5,1806.6,93943.2,0
3930,Masculino,31,Argentina,2020-01-09,Estándar,52,58,19,5760.9,299566.8,0
3290,Masculino,70,Argentina,2021-07-02,Premium,34,175,3,1083.75,36847.5,0
7594,Femenino,58,Argentina,2023-05-31,Premium,12,330,8,2746.5,32958.0,1
3808,Masculino,17,Perú,2021-04-12,Estándar,37,471,8,2894.55,107098.35,0
8889,Masculino,98,Argentina,2024-02-05,Básico,3,176,9,2884.8,8654.4,0
2021,Masculino,77,Argentina,2024-01-14,Básico,4,367,9,3085.35,12341.4,0
41,Femenino,47,Perú,2023-10-05,Estándar,7,421,15,4942.05,34594.35,1
466,Femenino,92,Perú,2020-03-21,Premium,50,245,19,5957.25,297862.5,0
2194,Femenino,89,Chile,2020-11-30,Básico,42,85,2,689.25,28948.5,0
242,Masculino,44,Perú,2024-04-11,Estándar,1,269,3,1182.45,1182.45,0
1428,Masculino,80,Chile,2021-09-24,Básico,32,432,12,4053.6,129715.2,0
6790,Femenino,29,Argentina,2023-01-01,Básico,16,24,18,5425.2,86803.2,0
2505,Masculino,33,Perú,2020-12-06,Estándar,41,144,8,2551.2,104599.2,1
3580,Masculino,77,Chile,2023-12-26,Estándar,5,11,1,311.55,1557.75,1
1467,Masculino,87,Argentina,2022-11-09,Básico,18,223,18,5634.15,101414.7,0
2990,Femenino,64,Argentina,2019-09-17,Básico,56,435,2,1056.75,59178.0,1
8210,Masculino,30,Argentina,2023-10-03,Básico,7,327,11,3643.35,25503.45,0
9540,Femenino,99,Argentina,2024-01-02,Premium,4,335,1,651.75,2607.0,0
6072,Femenino,81,Chile,2021-10-17,Básico,31,465,13,4388.25,136035.75,0
4465,Masculino,58,Perú,2021-06-01,Premium,35,479,14,4702.95,164603.25,0
3445,Masculino,22,Argentina,2019-05-14,Estándar,60,99,5,1603.95,96237.0,1
4674,Masculino,25,Perú,2021-10-18,Estándar,31,270,4,1483.5,45988.5,0
6591,Masculino,40,Perú,2021-12-13,Premium,29,405,19,6125.25,177632.25,1
768,Masculino,23,Chile,2021-06-09,Estándar,35,276,9,2989.8,104643.0,1
6863,Femenino,98,Chile,2020-06-25,Premium,47,315,1,630.75,29645.25,0
2044,Masculino,98,Argentina,2020-02-20,Premium,51,206,19,5916.3,301731.3,0
8764,Masculino,47,Argentina,2019-10-28,Básico,55,476,11,3799.8,208989.0,0
1191,Femenino,66,Chile,2020-11-01,Básico,42,429,2,1050.45,44118.9,1
3457,Femenino,70,Chile,2020-03-16,Básico,50,274,9,2987.7,149385.0,0
4034,Masculino,66,Chile,2023-12-09,Básico,5,77,13,3980.85,19904.25,0
7227,Masculino,19,Chile,2020-08-01,Básico,45,338,12,3954.9,177970.5,0
958,Masculino,89,Argentina,2019-07-15,Básico,58,468,5,1991.4,115501.2,0
629,Femenino,23,Chile,2020-07-19,Estándar,46,132,9,2838.6,130575.6,0
8385,Masculino,72,Chile,2020-10-21,Estándar,43,282,10,3296.1,141732.3,0
9373,Femenino,72,Chile,2020-08-25,Premium,45,400,1,720.0,32400.0,1
3150,Masculino,67,Argentina,2020-03-09,Básico,50,117,15,4622.85,231142.5,0
5051,Femenino,42,Perú,2022-12-27,Básico,17,383,20,6402.15,108836.55,0
3858,Masculino,83,Chile,2020-02-24,Premium,51,105,5,1610.25,82122.75,0
4226,Femenino,21,Argentina,2020-09-30,Estándar,44,277,7,2390.85,105197.4,0
9926,Masculino,66,Chile,2021-10-22,Estándar,31,379,3,1297.95,40236.45,1
3284,Femenino,20,Argentina,2024-01-23,Estándar,4,148,6,1955.4,7821.6,1
3972,Femenino,29,Perú,2019-12-05,Premium,53,5,17,5105.25,270578.25,0
3890,Masculino,89,Argentina,2021-01-20,Premium,40,444,1,766.2,30648.0,0
3508,Masculino,76,Argentina,2023-01-30,Premium,16,37,16,4838.85,77421.6,0
5415,Masculino,83,Argentina,2022-10-22,Estándar,19,163,15,4671.15,88751.85,0
5478,Masculino,72,Chile,2023-08-26,Básico,9,31,7,2132.55,19192.95,0
8426,Masculino,29,Chile,2023-12-02,Estándar,5,24,6,1825.2,9126.0,0
3670,Masculino,95,Argentina,2021-04-30,Estándar,37,56,13,3958.8,146475.6,0
497,Masculino,74,Chile,2020-10-23,Estándar,43,102,2,707.1,30405.3,1
1312,Femenino,61,Argentina,2020-01-08,Básico,52,335,13,4251.75,221091.0,1
9992,Masculino,68,Chile,2021-01-29,Premium,40,69,8,2472.45,98898.0,0
9884,Femenino,50,Argentina,2021-01-11,Básico,40,11,2,611.55,24462.0,0
